distance,nmer_name,Uind_md,Udf,Unb,Uind_omm,Udf_omm,Unb_omm
1.805,3mer-0+3+7,-12.942868350900198,16.43320609796873,-80.53936611725992,-12.967652086974567,16.4692299320684,-80.66991424560547
1.805,3mer-0+3+9,-10.089328642786679,12.901298384371717,-64.87087000077322,-10.11503644593472,12.937129539172702,-65.00643157958984
1.805,3mer-0+3+50,-8.500817663215846,10.840635773580935,-55.40117997256388,-8.52441018624927,10.873680176299558,-55.529075622558594
1.805,3mer-0+3+10,-10.755487429136632,13.73669950158282,-67.90698291929955,-10.780485350941262,13.771421234752097,-68.03876972198486
1.805,3mer-0+3+18,-10.029801233810694,12.750370296580297,-66.20618205813093,-10.054065546643642,12.78548828636417,-66.33976364135742
1.805,3mer-0+3+14,-8.39022687334895,10.562917637335318,-56.80865840241199,-8.41416433402901,10.595746249467084,-56.93568420410156
1.805,3mer-0+3+16,-9.986286237504224,12.633036733958386,-61.32768117722748,-10.011131719232253,12.668139978765794,-61.458473205566406
1.805,3mer-0+3+30,-9.479715747926736,12.149729694802486,-58.83654943910674,-9.505231812109628,12.185258910546622,-58.971885681152344
1.805,3mer-0+3+8,-10.470829002051099,13.218025725737094,-69.17853495077188,-10.49269966474526,13.249930340137553,-69.30839157104492
1.805,3mer-0+3+4,-12.036578372224504,15.497396384837874,-74.13521981500969,-12.063158542578662,15.536962001854931,-74.27915954589844
1.805,3mer-0+1+3,-11.771239914426351,15.087934352141875,-65.19739164329224,-11.800185358714657,15.129532658863468,-65.35028076171875
1.805,3mer-0+3+356,-1639948992325.9106,867545853642.5631,-2507494846004.7397,-8.194922409971241,10.458730973283764,-54.99189043045044
1.805,3mer-0+3+11,-21.01111276797348,28.130038147947257,-124.27522271439625,-21.056776993255312,28.198422439117735,-124.50627136230469
1.805,3mer-0+3+528,-159383822265991.56,4829408564141.682,-164213230830169.8,-8.257341138186803,10.538518198666225,-55.36231327056885
1.805,3mer-0+3+141,-5574212577.128448,338394950.15210915,-5912607563.266078,-8.17238378258321,10.431451800149944,-54.66055488586426
1.805,3mer-0+3+235,-2.3721734915189427e+18,1.93672470233337e+16,-2.391540738542274e+18,-8.266657205361298,10.551675466757843,-55.62089157104492
1.805,3mer-0+3+290,-7.345555944938468e+17,304204138146.7398,-7.345558986979837e+17,-8.200108859688271,10.464340355247032,-54.79657697677612
1.805,3mer-0+3+156,-577637509818.3042,8317607386.955909,-585955117241.9666,-8.303210744153375,10.597137919176703,-55.67860245704651
1.805,3mer-0+3+360,-474767457974.0243,24696327665.068584,-499463785675.60443,-8.26298741964115,10.544594481909144,-55.39018440246582
1.805,3mer-0+3+262,-82666959378.59302,1650771625.1642044,-84317731040.3933,-8.293736347424101,10.584941020739961,-55.5863983631134
1.805,3mer-0+3+291,-17021333851678.578,1240808056.1882422,-17022574659771.805,-8.397814542191554,10.716164797408055,-56.24556922912598
1.805,3mer-0+3+278,-8653964671509316.0,297242360663755.3,-8951207032173106.0,-8.309330062468007,10.606538696687267,-55.88295936584473
1.805,3mer-0+3+223,-2955623387974.533,1076331340615.3304,-4031954728626.575,-8.352359780520146,10.658133021146114,-55.796483516693115
1.805,3mer-0+3+334,-2961380635318.6187,42456097643.02102,-3003836732997.771,-8.210248490725462,10.476585844601686,-54.88924789428711
1.805,3mer-0+3+521,-154120149577.93118,11928928055.927736,-166049077670.45816,-8.280466115116724,10.56813927924668,-55.51934576034546
1.805,3mer-0+3+247,-2929052364692368.5,325294601504083.3,-3254346966196488.0,-8.241770188176133,10.519236167109511,-55.18131923675537
1.805,3mer-0+3+106,-3.0966450069146235e+18,117855274833164.11,-3.0967628621894564e+18,-8.137864897186091,10.3807241225893,-54.06138038635254
1.805,3mer-0+3+89,-23725625786301.71,11577633470523.102,-35303259256861.25,-8.203060702700213,10.472022457700177,-55.165382385253906
1.805,3mer-0+3+302,-3671215566.855135,24602814.64988614,-3695818417.963954,-8.299830175848456,10.59213616707757,-55.421935081481934
1.805,3mer-0+3+311,-101627397501360.97,14094743403666.797,-115722140905064.02,-8.21776715242595,10.487294760110672,-54.962623596191406
1.805,3mer-0+3+437,-42034237753.22145,11719928894.257425,-53754166683.92226,-8.232512639375727,10.507054163602788,-55.25414752960205
1.805,3mer-0+3+537,-87381220499.20157,3360103145.5629106,-90741323681.33325,-8.269512040488053,10.554142134316635,-55.46389055252075
1.805,3mer-0+3+298,-865528349748.4688,42262291464.114365,-907790641249.2305,-8.288245148079113,10.576997809989734,-55.58434867858887
1.805,3mer-0+3+148,-78870362724.6993,6523626727.521514,-85393989488.29471,-8.198011692224327,10.460815612615761,-54.803062438964844
